mysql> select * from Dates_D;
+---------+------------+-----------+-------------+--------------+-------------+--------------+------------+---------+--------------+-----------+---------------+-----------------+------+
| date_id | date       | day       | day_of_week | day_of_month | day_of_year | previous_day | next_day   | weekend | week_of_year | month     | month_of_year | quarter_of_year | year |
|      39 | 2010-02-09 | Tuesday   |           3 |            9 |          40 | 2010-02-08   | 2010-02-10 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      40 | 2010-02-10 | Wednesday |           4 |           10 |          41 | 2010-02-09   | 2010-02-11 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      41 | 2010-02-11 | Thursday  |           5 |           11 |          42 | 2010-02-10   | 2010-02-12 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      42 | 2010-02-12 | Friday    |           6 |           12 |          43 | 2010-02-11   | 2010-02-13 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      43 | 2010-02-13 | Saturday  |           7 |           13 |          44 | 2010-02-12   | 2010-02-14 | Weekend | 06           | February  | 02            |               1 | 2010 |
|      44 | 2010-02-14 | Sunday    |           1 |           14 |          45 | 2010-02-13   | 2010-02-15 | Weekend | 07           | February  | 02            |               1 | 2010 |
|      45 | 2010-02-15 | Monday    |           2 |           15 |          46 | 2010-02-14   | 2010-02-16 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      46 | 2010-02-16 | Tuesday   |           3 |           16 |          47 | 2010-02-15   | 2010-02-17 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      47 | 2010-02-17 | Wednesday |           4 |           17 |          48 | 2010-02-16   | 2010-02-18 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      48 | 2010-02-18 | Thursday  |           5 |           18 |          49 | 2010-02-17   | 2010-02-19 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      49 | 2010-02-19 | Friday    |           6 |           19 |          50 | 2010-02-18   | 2010-02-20 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      50 | 2010-02-20 | Saturday  |           7 |           20 |          51 | 2010-02-19   | 2010-02-21 | Weekend | 07           | February  | 02            |               1 | 2010 |
|      51 | 2010-02-21 | Sunday    |           1 |           21 |          52 | 2010-02-20   | 2010-02-22 | Weekend | 08           | February  | 02            |               1 | 2010 |
|      52 | 2010-02-22 | Monday    |           2 |           22 |          53 | 2010-02-21   | 2010-02-23 | Weekday | 08           | February  | 02            |               1 | 2010 |
|      53 | 2010-02-23 | Tuesday   |           3 |           23 |          54 | 2010-02-22   | 2010-02-24 | Weekday | 08           | February  | 02            |               1 | 2010 |
|      54 | 2010-02-24 | Wednesday |           4 |           24 |          55 | 2010-02-23   | 2010-02-25 | Weekday | 08           | February  | 02            |               1 | 2010 |
|      55 | 2010-02-25 | Thursday  |           5 |           25 |          56 | 2010-02-24   | 2010-02-26 | Weekday | 08           | February  | 02            |               1 | 2010 |
|      56 | 2010-02-26 | Friday    |           6 |           26 |          57 | 2010-02-25   | 2010-02-27 | Weekday | 08           | February  | 02            |               1 | 2010 |
|      57 | 2010-02-27 | Saturday  |           7 |           27 |          58 | 2010-02-26   | 2010-02-28 | Weekend | 08           | February  | 02            |               1 | 2010 |
|      58 | 2010-02-28 | Sunday    |           1 |           28 |          59 | 2010-02-27   | 2010-03-01 | Weekend | 09           | February  | 02            |               1 | 2010 |
|      59 | 2010-03-01 | Monday    |           2 |            1 |          60 | 2010-02-28   | 2010-03-02 | Weekday | 09           | March     | 03            |               1 | 2010 |
|      60 | 2010-03-02 | Tuesday   |           3 |            2 |          61 | 2010-03-01   | 2010-03-03 | Weekday | 09           | March     | 03            |               1 | 2010 |
|      61 | 2010-03-03 | Wednesday |           4 |            3 |          62 | 2010-03-02   | 2010-03-04 | Weekday | 09           | March     | 03            |               1 | 2010 |
|      62 | 2010-03-04 | Thursday  |           5 |            4 |          63 | 2010-03-03   | 2010-03-05 | Weekday | 09           | March     | 03            |               1 | 2010 |
|      63 | 2010-03-05 | Friday    |           6 |            5 |          64 | 2010-03-04   | 2010-03-06 | Weekday | 09           | March     | 03            |               1 | 2010 |
|      64 | 2010-03-06 | Saturday  |           7 |            6 |          65 | 2010-03-05   | 2010-03-07 | Weekend | 09           | March     | 03            |               1 | 2010 |
|      65 | 2010-03-07 | Sunday    |           1 |            7 |          66 | 2010-03-06   | 2010-03-08 | Weekend | 10           | March     | 03            |               1 | 2010 |
|      66 | 2010-03-08 | Monday    |           2 |            8 |          67 | 2010-03-07   | 2010-03-09 | Weekday | 10           | March     | 03            |               1 | 2010 |
|      67 | 2010-03-09 | Tuesday   |           3 |            9 |          68 | 2010-03-08   | 2010-03-10 | Weekday | 10           | March     | 03            |               1 | 2010 |
|      68 | 2010-03-10 | Wednesday |           4 |           10 |          69 | 2010-03-09   | 2010-03-11 | Weekday | 10           | March     | 03            |               1 | 2010 |
|      69 | 2010-03-11 | Thursday  |           5 |           11 |          70 | 2010-03-10   | 2010-03-12 | Weekday | 10           | March     | 03            |               1 | 2010 |
|      70 | 2010-03-12 | Friday    |           6 |           12 |          71 | 2010-03-11   | 2010-03-13 | Weekday | 10           | March     | 03            |               1 | 2010 |
|      71 | 2010-03-13 | Saturday  |           7 |           13 |          72 | 2010-03-12   | 2010-03-14 | Weekend | 10           | March     | 03            |               1 | 2010 |
|      72 | 2010-03-14 | Sunday    |           1 |           14 |          73 | 2010-03-13   | 2010-03-15 | Weekend | 11           | March     | 03            |               1 | 2010 |
|      73 | 2010-03-15 | Monday    |           2 |           15 |          74 | 2010-03-14   | 2010-03-16 | Weekday | 11           | March     | 03            |               1 | 2010 |
|      74 | 2010-03-16 | Tuesday   |           3 |           16 |          75 | 2010-03-15   | 2010-03-17 | Weekday | 11           | March     | 03            |               1 | 2010 |
|      75 | 2010-03-17 | Wednesday |           4 |           17 |          76 | 2010-03-16   | 2010-03-18 | Weekday | 11           | March     | 03            |               1 | 2010 |
|      76 | 2010-03-18 | Thursday  |           5 |           18 |          77 | 2010-03-17   | 2010-03-19 | Weekday | 11           | March     | 03            |               1 | 2010 |
|      77 | 2010-03-19 | Friday    |           6 |           19 |          78 | 2010-03-18   | 2010-03-20 | Weekday | 11           | March     | 03            |               1 | 2010 |
|      78 | 2010-03-20 | Saturday  |           7 |           20 |          79 | 2010-03-19   | 2010-03-21 | Weekend | 11           | March     | 03            |               1 | 2010 |
|      79 | 2010-03-21 | Sunday    |           1 |           21 |          80 | 2010-03-20   | 2010-03-22 | Weekend | 12           | March     | 03            |               1 | 2010 |
|      80 | 2010-03-22 | Monday    |           2 |           22 |          81 | 2010-03-21   | 2010-03-23 | Weekday | 12           | March     | 03            |               1 | 2010 |
|      81 | 2010-03-23 | Tuesday   |           3 |           23 |          82 | 2010-03-22   | 2010-03-24 | Weekday | 12           | March     | 03            |               1 | 2010 |
|      82 | 2010-03-24 | Wednesday |           4 |           24 |          83 | 2010-03-23   | 2010-03-25 | Weekday | 12           | March     | 03            |               1 | 2010 |
|      83 | 2010-03-25 | Thursday  |           5 |           25 |          84 | 2010-03-24   | 2010-03-26 | Weekday | 12           | March     | 03            |               1 | 2010 |
|      84 | 2010-03-26 | Friday    |           6 |           26 |          85 | 2010-03-25   | 2010-03-27 | Weekday | 12           | March     | 03            |               1 | 2010 |
|      85 | 2010-03-27 | Saturday  |           7 |           27 |          86 | 2010-03-26   | 2010-03-28 | Weekend | 12           | March     | 03            |               1 | 2010 |
|      86 | 2010-03-28 | Sunday    |           1 |           28 |          87 | 2010-03-27   | 2010-03-29 | Weekend | 13           | March     | 03            |               1 | 2010 |
|      87 | 2010-03-29 | Monday    |           2 |           29 |          88 | 2010-03-28   | 2010-03-30 | Weekday | 13           | March     | 03            |               1 | 2010 |
|      88 | 2010-03-30 | Tuesday   |           3 |           30 |          89 | 2010-03-29   | 2010-03-31 | Weekday | 13           | March     | 03            |               1 | 2010 |
|      89 | 2010-03-31 | Wednesday |           4 |           31 |          90 | 2010-03-30   | 2010-04-01 | Weekday | 13           | March     | 03            |               1 | 2010 |
|      90 | 2010-04-01 | Thursday  |           5 |            1 |          91 | 2010-03-31   | 2010-04-02 | Weekday | 13           | April     | 04            |               2 | 2010 |
|      91 | 2010-04-02 | Friday    |           6 |            2 |          92 | 2010-04-01   | 2010-04-03 | Weekday | 13           | April     | 04            |               2 | 2010 |
